Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,20
Horizontal Delay,0
Sample Interval,0.002
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,2
,
,
,
Label,
TIME,CH3
-100,-0.011
-99.998,-0.011
-99.996,-0.0106
-99.994,-0.0094
-99.992,-0.0098
-99.99,-0.011
-99.988,-0.0102
-99.986,-0.0106
-99.984,-0.011
-99.982,-0.01
-99.98,-0.0116
-99.978,-0.0114
-99.976,-0.0102
-99.974,-0.0102
-99.972,-0.0106
-99.97,-0.0114
-99.968,-0.0096
-99.966,-0.011
-99.964,-0.0108
-99.962,-0.0108
-99.96,-0.0098
-99.958,-0.0104
-99.956,-0.0106
-99.954,-0.0108
-99.952,-0.0106
-99.95,-0.0104
-99.948,-0.0102
-99.946,-0.0104
-99.944,-0.0106
-99.942,-0.0102
-99.94,-0.0102
-99.938,-0.0106
-99.936,-0.011
-99.934,-0.0118
-99.932,-0.011
-99.93,-0.0106
-99.928,-0.0102
-99.926,-0.0106
-99.924,-0.0108
-99.922,-0.0106
-99.92,-0.0108
-99.918,-0.0102
-99.916,-0.012
-99.914,-0.0102
-99.912,-0.011
-99.91,-0.0108
-99.908,-0.0102
-99.906,-0.0102
-99.904,-0.0108
-99.902,-0.0104
-99.9,-0.011
-99.898,-0.01
-99.896,-0.0102
-99.894,-0.0102
-99.892,-0.0112
-99.89,-0.011
-99.888,-0.0112
-99.886,-0.0102
-99.884,-0.0112
-99.882,-0.0102
-99.88,-0.0108
-99.878,-0.0102
-99.876,-0.0104
-99.874,-0.0124
-99.872,-0.0108
-99.87,-0.0104
-99.868,-0.0106
-99.866,-0.0098
-99.864,-0.0112
-99.862,-0.0106
-99.86,-0.011
-99.858,-0.0106
-99.856,-0.0114
-99.854,-0.0124
-99.852,-0.0108
-99.85,-0.0114
-99.848,-0.01
-99.846,-0.0116
-99.844,-0.012
-99.842,-0.0106
-99.84,-0.0108
-99.838,-0.0122
-99.836,-0.0114
-99.834,-0.0112
-99.832,-0.012
-99.83,-0.01
-99.828,-0.0112
-99.826,-0.0112
-99.824,-0.0102
-99.822,-0.0114
-99.82,-0.0102
-99.818,-0.0112
-99.816,-0.011
-99.814,-0.0106
-99.812,-0.0106
-99.81,-0.0116
-99.808,-0.0114
-99.806,-0.0112
-99.804,-0.0104
-99.802,-0.0102
-99.8,-0.0106
-99.798,-0.01
-99.796,-0.0114
-99.794,-0.0106
-99.792,-0.012
-99.79,-0.0104
-99.788,-0.0104
-99.786,-0.0104
-99.784,-0.0108
-99.782,-0.0102
-99.78,-0.0108
-99.778,-0.0104
-99.776,-0.0112
-99.774,-0.0108
-99.772,-0.0098
-99.77,-0.0096
-99.768,-0.0108
-99.766,-0.0106
-99.764,-0.0114
-99.762,-0.0102
-99.76,-0.0108
-99.758,-0.0112
-99.756,-0.0102
-99.754,-0.0108
-99.752,-0.0102
-99.75,-0.0106
-99.748,-0.0122
-99.746,-0.0106
-99.744,-0.0104
-99.742,-0.01
-99.74,-0.0104
-99.738,-0.0108
-99.736,-0.0106
-99.734,-0.01
-99.732,-0.011
-99.73,-0.0104
-99.728,-0.0118
-99.726,-0.0106
-99.724,-0.0096
-99.722,-0.0108
-99.72,-0.0104
-99.718,-0.0108
-99.716,-0.0104
-99.714,-0.0102
-99.712,-0.0116
-99.71,-0.0106
-99.708,-0.0104
-99.706,-0.0106
-99.704,-0.0106
-99.702,-0.0108
-99.7,-0.0124
-99.698,-0.0102
-99.696,-0.0116
-99.694,-0.0106
-99.692,-0.011
-99.69,-0.0108
-99.688,-0.0094
-99.686,-0.0116
-99.684,-0.01
-99.682,-0.0102
-99.68,-0.0104
-99.678,-0.0108
-99.676,-0.0106
-99.674,-0.0106
-99.672,-0.0104
-99.67,-0.0102
-99.668,-0.0104
-99.666,-0.0114
-99.664,-0.0114
-99.662,-0.0096
-99.66,-0.008
-99.658,-0.0104
-99.656,-0.011
-99.654,-0.0116
-99.652,-0.011
-99.65,-0.011
-99.648,-0.0102
-99.646,-0.0104
-99.644,-0.0106
-99.642,-0.0112
-99.64,-0.0104
-99.638,-0.0094
-99.636,-0.0098
-99.634,-0.011
-99.632,-0.0106
-99.63,-0.0108
-99.628,-0.0112
-99.626,-0.011
-99.624,-0.011
-99.622,-0.0108
-99.62,-0.0104
-99.618,-0.0114
-99.616,-0.0098
-99.614,-0.0104
-99.612,-0.0112
-99.61,-0.0102
-99.608,-0.0106
-99.606,-0.011
-99.604,-0.0108
-99.602,-0.0106
-99.6,-0.0108
-99.598,-0.0112
-99.596,-0.0112
-99.594,-0.0102
-99.592,-0.0112
-99.59,-0.0104
-99.588,-0.01
-99.586,-0.0122
-99.584,-0.0102
-99.582,-0.0106
-99.58,-0.011
-99.578,-0.0096
-99.576,-0.0112
-99.574,-0.0104
-99.572,-0.0108
-99.57,-0.0106
-99.568,-0.0108
-99.566,-0.0116
-99.564,-0.0116
-99.562,-0.0102
-99.56,-0.0094
-99.558,-0.0106
-99.556,-0.0108
-99.554,-0.0104
-99.552,-0.0102
-99.55,-0.011
-99.548,-0.0102
-99.546,-0.0114
-99.544,-0.0116
-99.542,-0.0104
-99.54,-0.0114
-99.538,-0.0106
-99.536,-0.0104
-99.534,-0.0112
-99.532,-0.01
-99.53,-0.0106
-99.528,-0.0114
-99.526,-0.01
-99.524,-0.011
-99.522,-0.0112
-99.52,-0.0102
-99.518,-0.0108
-99.516,-0.0108
-99.514,-0.0106
-99.512,-0.011
-99.51,-0.011
-99.508,-0.0108
-99.506,-0.0102
-99.504,-0.0102
-99.502,-0.0116
-99.5,-0.0114
-99.498,-0.0112
-99.496,-0.0102
-99.494,-0.0102
-99.492,-0.0102
-99.49,-0.0104
-99.488,-0.0106
-99.486,-0.01
-99.484,-0.0102
-99.482,-0.0102
-99.48,-0.012
-99.478,-0.0106
-99.476,-0.0102
-99.474,-0.0104
-99.472,-0.011
-99.47,-0.0116
-99.468,-0.0104
-99.466,-0.0098
-99.464,-0.0104
-99.462,-0.011
-99.46,-0.011
-99.458,-0.0106
-99.456,-0.011
-99.454,-0.0104
-99.452,-0.0102
-99.45,-0.0102
-99.448,-0.0102
-99.446,-0.0102
-99.444,-0.0108
-99.442,-0.0118
-99.44,-0.0102
-99.438,-0.0102
-99.436,-0.0104
-99.434,-0.0106
-99.432,-0.0106
-99.43,-0.0098
-99.428,-0.0104
-99.426,-0.0108
-99.424,-0.0102
-99.422,-0.0104
-99.42,-0.011
-99.418,-0.0114
-99.416,-0.0106
-99.414,-0.0112
-99.412,-0.01
-99.41,-0.0102
-99.408,-0.0102
-99.406,-0.011
-99.404,-0.0108
-99.402,-0.011
-99.4,-0.0104
-99.398,-0.0106
-99.396,-0.0104
-99.394,-0.0106
-99.392,-0.0112
-99.39,-0.0106
-99.388,-0.011
-99.386,-0.011
-99.384,-0.011
-99.382,-0.0104
-99.38,-0.0108
-99.378,-0.0114
-99.376,-0.01
-99.374,-0.0104
-99.372,-0.0096
-99.37,-0.0108
-99.368,-0.011
-99.366,-0.01
-99.364,-0.011
-99.362,-0.0104
-99.36,-0.0108
-99.358,-0.011
-99.356,-0.0104
-99.354,-0.0114
-99.352,-0.0102
-99.35,-0.0112
-99.348,-0.0114
-99.346,-0.0096
-99.344,-0.0106
-99.342,-0.0104
-99.34,-0.0108
-99.338,-0.011
-99.336,-0.0108
-99.334,-0.01
-99.332,-0.01
-99.33,-0.0124
-99.328,-0.0106
-99.326,-0.0108
-99.324,-0.01
-99.322,-0.011
-99.32,-0.0102
-99.318,-0.011
-99.316,-0.0112
-99.314,-0.0102
-99.312,-0.0104
-99.31,-0.0104
-99.308,-0.01
-99.306,-0.0104
-99.304,-0.0102
-99.302,-0.011
-99.3,-0.0114
-99.298,-0.0096
-99.296,-0.0102
-99.294,-0.0104
-99.292,-0.0106
-99.29,-0.0106
-99.288,-0.0104
-99.286,-0.0096
-99.284,-0.0108
-99.282,-0.0102
-99.28,-0.0102
-99.278,-0.0102
-99.276,-0.0114
-99.274,-0.0106
-99.272,-0.0108
-99.27,-0.0104
-99.268,-0.0102
-99.266,-0.0102
-99.264,-0.0102
